						Obtainability																																														Base Stats										1																	XP and EV Yield								Gender Ratio		Type Effectiveness																		Gen 9Moveset				
Dex #	Main Dex	Pokemon	Classification	Type 1	Type 2	R	G	B	Y	G	S	C	R	S	E	FR	LG	D	P	PL	HG	SS	B	W	B2	W2	X	Y	OA	AS	S	M	US	UM	LGP	LGE	SW	SH	SW IoA	SH IoA	SW CT	SH CT	BD	SP	PLA	S	V	S TM	V TM	S ID	T ID	HP	ATK	DEF	SpA	SpD	SPE	TOTAL	Color	Shape	Shape Img	Ability		Hidden Ability	Evolution	Catch Rate	Base Catch %	Egg Group 1	Egg Group 2	Egg Cycles	Egg Steps	Level Rate	Total EXP	Height (m)	Height (ft)	Weight (kg)	Weight (lb)	Base Friendship	XP	HP	ATK	DEF	SpA	SpD	SPE	TOTAL	Male	Female	Normal	Fire	water	Electric	Grass	Ice	Fighting	Poison	Ground	Flying	Psychic	Bug	Rock	Ghost	Dragon	Dark	Steel	Fairy	Level Up	TM	Egg Move	Evolution	Reminder
1	1	Bulbasaur	Seed Pokémon	Grass	Poison	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	45	49	49	65	65	45	318	Green	Quadruped		Overgrow		Chlorophyll		45	15	Monster	Grass	20	2560	Medium Slow	"1,059,860"	0.7	2′04″	6.9	15.2	50	64	0	0	0	1	0	0	1	87.50%	12.50%	1	2	0.5	0.5	0.25	2	0.5	1	1	2	2	1	1	1	1	1	1	0.5	45-1|33-1|22-3|74-6|73-9|75-12|77-15|79-15|402-18|36-21|230-24|235-27|388-30|438-33|76-36	36-TM|204-TM|182-TM|491-TM|885-TM|263-TM|345-TM|474-TM|203-TM|241-TM|331-TM|206-TM|34-TM|214-TM|402-TM|447-TM|156-TM|14-TM|164-TM|202-TM|412-TM|270-TM|580-TM|520-TM|188-TM|437-TM|76-TM|851-TM|92-TM|282-TM|311-TM|803-TM|38-TM|174-TM	174-EM|275-EM|80-EM|92-EM		
2	2	Ivysaur	Seed Pokémon	Grass	Poison	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	60	62	63	80	80	60	405	Green	Quadruped		Overgrow		Chlorophyll	Level 16	45	15	Monster	Grass	20	2560	Medium Slow	"1,059,860"	1	3′03″	13	28.7	50	142	0	0	0	1	1	0	2	87.50%	12.50%	1	2	0.5	0.5	0.25	2	0.5	1	1	2	2	1	1	1	1	1	1	0.5	45-1|74-1|33-1|22-1|73-9|75-12|77-15|79-15|402-20|36-25|230-30|235-35|388-40|438-45|76-50	36-TM|204-TM|182-TM|491-TM|885-TM|263-TM|345-TM|474-TM|203-TM|241-TM|331-TM|206-TM|34-TM|214-TM|402-TM|447-TM|156-TM|14-TM|164-TM|202-TM|412-TM|270-TM|580-TM|520-TM|188-TM|437-TM|76-TM|851-TM|46-TM|92-TM|282-TM|311-TM|803-TM|38-TM|174-TM			
3		GMAX Venusaur	Seed Pokémon	Grass	Poison																																TRUE	TRUE	TRUE	TRUE	TRUE	TRUE										80	100	123	122	120	80	625	Green	Quadruped		Overgrow		Chlorophyll	GMAX Factor	3	1			20	2560	Medium Slow	"1,059,860"	24	"78'9"""	???	???	50	0	0	0	0	0	0	0	0	87.50%	12.50%	1	2	0.5	0.5	0.25	2	0.5	1	1	2	2	1	1	1	1	1	1	0.5					
3	3	Venusaur	Seed Pokémon	Grass	Poison	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	80	82	83	100	100	80	525	Green	Quadruped		Overgrow		Chlorophyll	Level 32	45	15	Monster	Grass	20	2560	Medium Slow	"1,059,860"	2	6′07″	100	220.5	50	263	0	0	0	2	1	0	3	87.50%	12.50%	1	2	0.5	0.5	0.25	2	0.5	1	1	2	2	1	1	1	1	1	1	0.5	45-1|74-1|80-1|33-1|22-1|73-9|75-12|77-15|79-15|402-20|36-25|230-30|235-37|388-44|438-51|76-58	36-TM|204-TM|184-TM|182-TM|491-TM|885-TM|263-TM|523-TM|345-TM|474-TM|203-TM|241-TM|331-TM|206-TM|34-TM|214-TM|402-TM|447-TM|398-TM|707-TM|156-TM|14-TM|164-TM|202-TM|412-TM|133-TM|270-TM|414-TM|580-TM|520-TM|188-TM|89-TM|416-TM|338-TM|437-TM|63-TM|76-TM|851-TM|46-TM|92-TM|282-TM|311-TM|803-TM|38-TM|572-TM|174-TM		572-EV	
3		Mega Venusaur	Seed Pokémon	Grass	Poison																						TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE																80	100	123	122	120	80	625	Green	Quadruped		Thick Fat			Venusaurite					20	2560	Medium Slow	"1,059,860"	2.4	7′10″	155.5	342.8	50	313	0	0	0	2	1	0	3	87.50%	12.50%	1	2	0.5	0.5	0.25	2	0.5	1	1	2	2	1	1	1	1	1	1	0.5					
4	4	Charmander	Lizard Pokémon	Fire		TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	39	52	43	60	50	65	309	Red	Bipedal+Tail		Blaze		Solar Power		45	15	Monster	Dragon	20	2560	Medium Slow	"1,059,860"	0.6	2′00″	8.5	18.7	50	62	0	0	0	0	0	1	1	87.50%	12.50%	1	0.5	2	1	0.5	0.5	1	1	2	1	1	0.5	2	1	1	1	0.5	0.5	45-1|10-1|52-4|108-8|225-12|424-17|163-20|53-24|184-28|83-32|517-36|394-40	36-TM|184-TM|182-TM|424-TM|83-TM|263-TM|232-TM|129-TM|317-TM|488-TM|374-TM|525-TM|203-TM|241-TM|91-TM|206-TM|280-TM|421-TM|34-TM|7-TM|9-TM|214-TM|337-TM|156-TM|157-TM|14-TM|349-TM|164-TM|261-TM|242-TM|406-TM|257-TM|53-TM|270-TM|126-TM|519-TM|200-TM|315-TM|411-TM|394-TM|851-TM|46-TM|264-TM|311-TM|915-TM|784-TM	246-EM|187-EM|44-EM|68-EM|407-EM|525-EM|231-EM|232-EM		
5	5	Charmeleon	Flame Pokémon	Fire		TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	58	64	58	80	65	80	405	Red	Bipedal+Tail		Blaze		Solar Power	Level 16	45	15	Monster	Dragon	20	2560	Medium Slow	"1,059,860"	1.1	3′07″	19	41.9	50	142	0	0	0	1	0	1	2	87.50%	12.50%	1	0.5	2	1	0.5	0.5	1	1	2	1	1	0.5	2	1	1	1	0.5	0.5	52-1|45-1|10-1|108-1|225-12|424-19|163-24|53-30|184-37|517-48|394-54	36-TM|184-TM|182-TM|424-TM|83-TM|263-TM|129-TM|317-TM|488-TM|374-TM|525-TM|203-TM|241-TM|91-TM|206-TM|280-TM|421-TM|34-TM|7-TM|9-TM|214-TM|337-TM|156-TM|157-TM|14-TM|349-TM|164-TM|261-TM|242-TM|406-TM|257-TM|53-TM|270-TM|126-TM|519-TM|200-TM|315-TM|411-TM|394-TM|851-TM|46-TM|264-TM|311-TM|915-TM|784-TM	246-EM|187-EM|44-EM|68-EM|407-EM|525-EM|231-EM|232-EM		
6		GMAX Charizard	Flame Pokémon	Fire	Flying																																TRUE	TRUE	TRUE	TRUE	TRUE	TRUE										78	130	111	130	85	100	634	Red	Bipedal+Tail		Blaze		Solar Power	GMAX Factor	3	1			20	2560	Medium Slow	"1,059,860"	28	"91'10"""	???	???	50	0	0	0	0	0	0	0	0	87.50%	12.50%	1	0.5	2	2	0.25	1	0.5	1	0	1	1	0.25	4	1	1	1	0.5	0.5					
6	6	Charizard	Flame Pokémon	Fire	Flying	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	78	84	78	109	85	100	534	Red	Bipedal+Tail		Blaze		Solar Power	Level 36	45	15	Monster	Dragon	20	2560	Medium Slow	"1,059,860"	1.7	5′07″	90.5	199.5	50	267	0	0	0	3	0	0	3	87.50%	12.50%	1	0.5	2	2	0.25	1	0.5	1	0	1	1	0.25	4	1	1	1	0.5	0.5	337-1|52-1|45-1|257-1|10-1|108-1|225-12|424-19|163-24|53-30|184-39|83-46|517-54|394-62	36-TM|184-TM|182-TM|424-TM|512-TM|83-TM|263-TM|332-TM|523-TM|129-TM|317-TM|488-TM|314-TM|374-TM|525-TM|203-TM|241-TM|201-TM|91-TM|280-TM|421-TM|403-TM|34-TM|7-TM|9-TM|214-TM|337-TM|156-TM|157-TM|14-TM|19-TM|349-TM|164-TM|261-TM|242-TM|406-TM|257-TM|53-TM|270-TM|126-TM|519-TM|89-TM|416-TM|307-TM|200-TM|315-TM|411-TM|542-TM|63-TM|394-TM|76-TM|851-TM|46-TM|535-TM|264-TM|311-TM|38-TM|915-TM|815-TM|784-TM|913-TM	246-EM|187-EM|44-EM|68-EM|407-EM|525-EM|231-EM|232-EM	403-EV	
