				Main Stats										TM #																
Moves	Dex #	Type	Category	Min PP	Max PP	Base Power	Accuracy	Base Crit Rate	Speed Priority	Targeted Pokemon	Secondary Effect	Secondary Stats	Secondary Chance	RGBY	GSC	RSE	FRLG	DPPL	HGSS	BWB2W2	XY	ORAS	SM	USUM	LGPE	SWSH	SWSH (TR)	BDSP	PLA	SV
Pound	1	Normal	Physical	35	56	40	100%	4.17	0	Selected																				
Karate Chop	2	Fighting	Physical	25	40	50	100%	12.5	0	Selected																				
Double Slap	3	Normal	Physical	10	16	15	85%	4.17	0	Selected	HIts 2-5 Times		100%																	
Comet Punch	4	Normal	Physical	15	24	18	85%	4.17	0	Selected	HIts 2-5 Times		100%																	
Mega Punch	5	Normal	Physical	20	32	80	85%	4.17	0	Selected				1												0				
Pay Day	6	Normal	Physical	20	32	40	100%	4.17	0	Selected				16											57	2				
Fire Punch	7	Fire	Physical	15	24	75	100%	4.17	0	Selected	Burns Foe		10%		48										31	3				67
Ice Punch	8	Ice	Physical	15	24	75	100%	4.17	0	Selected	Freezes Foe		10%		33										35	4				69
Thunder Punch	9	Electric	Physical	15	24	75	100%	4.17	0	Selected	Paralyzes Foe		10%		41										23	5				68
Scratch	10	Normal	Physical	35	56	40	100%	4.17	0	Selected																				
Vise Grip	11	Normal	Physical	30	48	55	100%	4.17	0	Selected																				
Guillotine	12	Normal	Physical	5	8	∞	30%	4.17	0	Selected	1-Hit KO	(Level Difference + 30)%	100%																	
Razor Wind	13	Normal	Special	10	16	80	100%	12.5	0	Adjacent Foes				2																
Swords Dance	14	Normal	Status	20	32	0	101%	None	0	Selected	Raises User's Atk by 2		100%	3				75	75	75	75	75	75				0	75		88
Cut	15	Normal	Physical	30	48	50	95%	4.17	0	Selected																				
Gust	16	Flying	Special	35	56	40	100%	4.17	0	Selected	Hits Foe Using Gust		100%																	
Wing Attack	17	Flying	Physical	35	56	60	100%	4.17	0	Selected																				
Whirlwind	18	Normal	Status	20	32	0	101%	None	-6	Selected				4																
Fly	19	Flying	Physical	15	24	90	95%	4.17	0	Selected	User is Protected, then Attacks Next Turn		100%										76		14	6		94		97
Bind	20	Normal	Physical	20	32	15	85%	4.17	0	Selected	Traps Foe		100%																	
Slam	21	Normal	Physical	20	32	80	75%	4.17	0	Selected																				
Vine Whip	22	Grass	Physical	25	40	45	100%	4.17	0	Selected																				
Stomp	23	Normal	Physical	20	32	65	100%	4.17	0	Selected	Flinches Foe		30%																	
Double Kick	24	Fighting	Physical	30	48	30	100%	4.17	0	Selected	Hits 2 Times		100%																	
Mega Kick	25	Normal	Physical	5	8	120	75%	4.17	0	Selected				5												1				
Jump Kick	26	Fighting	Physical	10	16	100	95%	4.17	0	Selected	50% Recoil if Miss																			
Rolling Kick	27	Fighting	Physical	15	24	60	85%	4.17	0	Selected	Flinches Foe		30%																	
Sand Attack	28	Ground	Status	15	24	0	100%	None	0	Selected	Lowers Foe's Accuracy by 1		100%																	
Headbutt	29	Normal	Physical	15	24	70	100%	4.17	0	Selected	Flinches Foe		30%		2										1					
Horn Attack	30	Normal	Physical	25	40	65	100%	4.17	0	Selected																				
Fury Attack	31	Normal	Physical	20	32	15	85%	4.17	0	Selected	HIts 2-5 Times		100%																	
Horn Drill	32	Normal	Physical	5	8	∞	30%	4.17	0	Selected	1-Hit KO	(Level Difference + 30)%	100%																	
Tackle	33	Normal	Physical	35	56	40	100%	4.17	0	Selected																				
Body Slam	34	Normal	Physical	15	24	85	100%	4.17	0	Selected	Paralyzes Foe		30%	8													1			66
Wrap	35	Normal	Physical	20	32	15	90%	4.17	0	Selected																				
Take Down	36	Normal	Physical	20	32	90	85%	4.17	0	Selected				9																1
Thrash	37	Normal	Physical	10	16	120	100%	4.17	0	Selected	Uses Same Move for 2-3 Turns; Confuses User After		100%																	
Double-Edge	38	Normal	Physical	15	24	120	100%	4.17	0	Selected	33% Recoil		100%	10																204
Tail Whip	39	Normal	Status	30	48	0	100%	None	0	Adjacent Foes	Lowers Foe's Def by 1		100%																	
Poison Sting	40	Poison	Physical	35	56	15	100%	4.17	0	Selected	Poisons Foe		30%																	
Twineedle	41	Bug	Physical	20	32	25	100%	4.17	0	Selected	Hits 2 Times; Poisons Foe		20%																	
Pin Missile	42	Bug	Physical	20	32	25	95%	4.17	0	Selected	HIts 2-5 Times		100%													7				
Leer	43	Normal	Status	30	48	0	100%	None	0	Adjacent Foes	Lowers Foe's Def by 1		100%																	
Bite	44	Dark	Physical	25	40	60	100%	4.17	0	Selected	Flinches Foe		30%																	
Growl	45	Normal	Status	40	64	0	100%	None	0	Adjacent Foes	Lowers Foe's Atk by 1		100%																	
Roar	46	Normal	Status	20	32	0	101%	None	-6	Selected					5	5	5	5	5	5	5	5	5					5		172
Sing	47	Normal	Status	15	24	0	55%	None	0	Selected																				
Supersonic	48	Normal	Status	20	32	0	55%	None	0	Selected																				
Sonic Boom	49	Normal	Special	20	32	0	90%	4.17	0	Selected																				
Disable	50	Normal	Status	20	32	0	100%	None	0	Selected	Disables Foe's Last Move		100%																	
Acid	51	Poison	Special	30	48	40	100%	4.17	0	Adjacent Foes	Lowers Foe's Sp. Def by 1		10%																	
Ember	52	Fire	Special	25	40	40	100%	4.17	0	Selected	Burns Foe		10%																	
Flamethrower	53	Fire	Special	15	24	90	100%	4.17	0	Selected	Burns Foe		10%			35	35	35	35	35	35	35	35		37		2	35		125
Mist	54	Ice	Status	30	48	0	101%	None	0	All Allies	Prevents Stats from Being Lowered		100%																	
Water Gun	55	Water	Special	25	40	40	100%	4.17	0	Selected				12																
Hydro Pump	56	Water	Special	5	8	110	80%	4.17	0	Selected																	3			142
Surf	57	Water	Special	15	24	90	100%	4.17	0	All Adjacent													94		47		4	95		123
Ice Beam	58	Ice	Special	10	16	90	100%	4.17	0	Selected	Freezes Foe		10%	13		13	13	13	13	13	13	13	13		55		5	13		135
Blizzard	59	Ice	Special	5	8	110	70%	4.17	0	Adjacent Foes	Freezes Foe		10%	14	14	14	14	14	14	14	14	14	14		51		6	14		143
Psybeam	60	Psychic	Special	20	32	65	100%	4.17	0	Selected	Confuses Foe		10%																	16
Bubble Beam	61	Water	Special	20	32	65	100%	4.17	0	Selected	Lowers Foe's Spd by 1		10%	11																
Aurora Beam	62	Ice	Special	20	32	65	100%	4.17	0	Selected	Lowers Foe's Atk by 1		10%																	
Hyper Beam	63	Normal	Special	5	8	150	90%	4.17	0	Selected	User Can Not Attack Next Turn			15	15	15	15	15	15	15	15	15	15		48	8		15		163
Peck	64	Flying	Physical	35	56	35	100%	4.17	0	Selected																				
Drill Peck	65	Flying	Physical	20	32	80	100%	4.17	0	Selected																				
Submission	66	Fighting	Physical	20	32	80	80%	4.17	0	Selected				17																
Low Kick	67	Fighting	Physical	20	32	0	100%	4.17	0	Selected	Higher Power the Heavier the Foe		100%							47	47	47	47				7			12
Counter	68	Fighting	Physical	20	32	0	100%	4.17	-5	Selected	If Hit by a Physical Attack, 100% Damage Recieved		100%																	
Seismic Toss	69	Fighting	Physical	20	32	0	100%	4.17	0	Selected				19											15					
Strength	70	Normal	Physical	15	24	80	100%	4.17	0	Selected																		96		
Absorb	71	Grass	Special	25	40	20	100%	4.17	0	Selected	50% Lifesteal																			
Mega Drain	72	Grass	Special	15	24	40	100%	4.17	0	Selected	50% Lifesteal		100%	21											53					
Leech Seed	73	Grass	Status	10	16	0	90%	None	0	Selected	Seeds Foe		100%																	
Growth	74	Normal	Status	20	32	0	101%	None	0	Selected	Raises User's Atk and Sp. Atk by 1. Raises by 2 if in Sun or Drought		100%																	
Razor Leaf	75	Grass	Physical	25	40	55	95%	12.5	0	Adjacent Foes																				
Solar Beam	76	Grass	Special	10	16	120	100%	4.17	0	Selected				22	22	22	22	22	22	22	22	22	22		45	11		22		168
Poison Powder	77	Poison	Status	35	56	0	75%	None	0	Selected																				
Stun Spore	78	Grass	Status	30	48	0	75%	None	0	Selected																				
Sleep Powder	79	Grass	Status	15	24	0	75%	None	0	Selected																				
Petal Dance	80	Grass	Special	10	16	120	100%	4.17	0	Selected	Uses Same Move for 2-3 Turns; Confuses User After		100%																	
String Shot	81	Bug	Status	40	64	0	95%	None	0	Adjacent Foes	Lowers Foe's Spd by 2		100%																	
Dragon Rage	82	Dragon	Special	10	16	0	100%	4.17	0	Selected	Deals 40 HP Damage		100%	23																
Fire Spin	83	Fire	Special	15	24	35	85%	4.17	0	Selected	Traps Foe		100%													13				24
Thunder Shock	84	Electric	Special	30	48	40	100%	4.17	0	Selected	Paralyzes Foe		10%																	
Thunderbolt	85	Electric	Special	15	24	90	100%	4.17	0	Selected	Paralyzes Foe		10%	24		24	24	24	24	24	24	24	24				8	24		126
Thunder Wave	86	Electric	Status	20	32	0	90%	None	0	Selected				45				73	73	73	73	73	73		16	14		73		82
Thunder	87	Electric	Special	10	16	110	70%	4.17	0	Selected	100% Accuracy in Rain; 50% Accuracy in Sunshine; Paralyzes Foe		30%	25	25	25	25	25	25	25	25	25	25		38		9	25		166
Rock Throw	88	Rock	Physical	15	24	50	90%	4.17	0	Selected																				
Earthquake	89	Ground	Physical	10	16	100	100%	4.17	0	All Adjacent	100% Damage if Foe is Using Dig		100%	26	26	26	26	26	26	26	26	26	26		41		10	26		149
Fissure	90	Ground	Physical	5	8	∞	30%	4.17	0	Selected	1-Hit KO	(Level Difference + 30)%	100%	27																
Dig	91	Ground	Physical	10	16	80	100%	4.17	0	Selected	User is Protected, then Attacks Next Turn		100%	28	28	28	28	28	28	28	28	28			10	15		28		55
Toxic	92	Poison	Status	10	16	0	90%	None	0	Selected				6	6	6	6	6	6	6	6	6	6		27			6		175
Confusion	93	Psychic	Special	25	40	50	100%	4.17	0	Selected	Confuses Foe		10%																	
Psychic	94	Psychic	Special	10	16	90	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 1		10%	29	29	29	29	29	29	29	29	29	29		40		11	29		120
Hypnosis	95	Psychic	Status	20	32	0	60%	None	0	Selected	Sleeps Foe		100%																	
Meditate	96	Psychic	Status	40	64	0	101%	None	0	Selected	Raises User's Atk by 1		100%																	
Agility	97	Psychic	Status	30	48	0	101%	None	0	Self	Raises User's Spd by 2		100%														12			4
Quick Attack	98	Normal	Physical	30	48	40	100%	4.17	1	Selected																				
Rage	99	Normal	Physical	20	32	20	100%	4.17	0	Selected				20																
Teleport	100	Psychic	Status	20	32	0	101%	None	0	Selected				30											4					
Night Shade	101	Ghost	Special	15	24	0	100%	4.17	0	Selected	Power is Equal to User's Level		100%																	42
Mimic	102	Normal	Status	10	16	0	101%	None	0	Selected	Copies Foe's Last Move		100%	31																
Screech	103	Normal	Status	40	64	0	85%	None	0	Selected	Lowers Foe's Def by 2		100%													16				
Double Team	104	Normal	Status	15	24	0	101%	None	0	Selected	Raises User's Evasion by 1		100%	32	32	32	32	32	32	32	32	32	32					32		
Recover	105	Normal	Status	5	8	0	101%	None	0	Selected																				
Harden	106	Normal	Status	30	48	0	101%	None	0	Selected	Raises User's Def by 1		100%																	
Minimize	107	Normal	Status	10	16	0	101%	None	0	Selected	Raises User's Evasion by 2		100%																	
Smokescreen	108	Normal	Status	20	32	0	100%	None	0	Selected	Lowers Foe's Accuracy by 1		100%																	
Confuse Ray	109	Ghost	Status	10	16	0	100%	None	0	Selected	Confuses Foe		100%																	
Withdraw	110	Water	Status	40	64	0	101%	None	0	Selected	Raises User's Def by 1		100%																	
Defense Curl	111	Normal	Status	40	64	0	101%	None	0	Selected	Raises User's Def by 1; 100% Damage for Rollout and Ice Ball		100%		40															
Barrier	112	Psychic	Status	20	32	0	101%	None	0	Self	Raises User's Def by 2		100%																	
Light Screen	113	Psychic	Status	30	48	0	101%	None	0	All Allies	Activates Light Screen		100%			16	16	16	16	16	16	16	16		6	17		16		75
Haze	114	Ice	Status	30	48	0	101%	None	0	All	Resets All Stat Changes		100%																	174
Reflect	115	Psychic	Status	20	32	0	101%	None	0	All Allies	Activates Reflect		100%	33		33	33	33	33	33	33	33	33		9	18		33		74
Focus Energy	116	Normal	Status	30	48	0	101%	None	0	Selected	Increases User's Critical Hit Rate by 1		100%														13			
Bide	117	Normal	Physical	10	16	1	101%	4.17	1	Self	User Takes Hits for 2 Turns; Damage is 100% Damage Recieved		100%	34																
Metronome	118	Normal	Status	10	16	0	101%	None	0	Selected	Uses a Random Move		100%	35													14			80
Mirror Move	119	Flying	Status	20	32	0	101%	None	0	Selected	Uses Foe's Last Move																			
Self-Destruct	120	Normal	Physical	5	8	200	100%	4.17	0	All Adjacent				36											42	20				
Egg Bomb	121	Normal	Physical	10	16	100	75%	4.17	0	Selected				37																
Lick	122	Ghost	Physical	30	48	30	100%	4.17	0	Selected	Paralyzes Foe		30%																	
Smog	123	Poison	Special	20	32	30	70%	4.17	0	Selected	Poisons Foe		40%																	
Sludge	124	Poison	Special	20	32	65	100%	4.17	0	Selected	Poisons Foe		30%																	
Bone Club	125	Ground	Physical	20	32	65	85%	4.17	0	Selected	Flinches Foe		10%																	
Fire Blast	126	Fire	Special	5	8	110	85%	4.17	0	Selected	Burns Foe		10%	38	38	38	38	38	38	38	38	38	38		46		15	38		141
Waterfall	127	Water	Physical	15	24	80	100%	4.17	0	Selected	Flinches Foe		20%										98		25		16	99		77
Clamp	128	Water	Physical	15	24	35	85%	4.17	0	Selected	Traps Foe		100%																	
Swift	129	Normal	Special	20	32	60	101%	4.17	0	Adjacent Foes	Can Not Miss		100%	39	39											40				32
